100
2 0
1 1
o 1 1
3 0
100 100
+ 1 25
+ 1 52
+ 1 95
+ 1 76
+ 1 59
+ 1 79
+ 1 29
+ 1 58
+ 1 26
+ 1 17
+ 1 46
+ 1 27
+ 1 22
+ 1 66
+ 1 60
+ 1 81
+ 1 10
+ 1 73
+ 1 56
+ 1 93
+ 1 82
+ 1 92
+ 1 80
+ 1 49
+ 1 64
+ 1 51
+ 1 62
+ 1 21
+ 1 50
+ 1 70
+ 1 87
+ 1 65
+ 1 45
+ 1 36
+ 1 13
+ 1 88
+ 1 23
+ 1 94
+ 1 1
+ 1 15
+ 1 18
+ 1 55
+ 1 5
+ 1 9
+ 1 84
+ 1 39
+ 1 57
o 1 2
+ 1 96
+ 1 91
+ 1 41
+ 1 67
+ 1 28
+ 1 97
+ 1 100
+ 1 98
+ 1 72
+ 1 6
+ 1 83
+ 1 11
+ 1 61
+ 1 42
+ 1 31
+ 1 99
+ 1 8
+ 1 85
+ 1 38
+ 1 77
+ 1 69
+ 1 68
+ 1 12
+ 1 37
+ 1 24
+ 1 71
+ 1 19
+ 1 33
+ 1 74
+ 1 4
+ 1 44
+ 1 48
+ 1 7
+ 1 16
+ 1 86
+ 1 43
+ 1 53
+ 1 32
+ 1 47
+ 1 54
+ 1 14
+ 1 63
+ 1 40
+ 1 78
+ 1 20
+ 1 89
+ 1 34
+ 1 75
+ 1 90
+ 1 35
+ 1 3
+ 1 30
73 3
+ 1 40
+ 1 66
o 1 32
100 3
+ 1 1
+ 1 8
+ 1 55
100 1
x 1 82
30 5
+ 1 21
+ 1 12
+ 1 16
x 1 25
+ 1 10
100 1
x 1 44
100 8
+ 1 2
+ 1 10
+ 1 19
+ 1 5
+ 1 14
+ 1 12
+ 1 1
+ 1 61
2 2
+ 1 2
+ 1 1
100 100
+ 1 3
+ 1 22
+ 1 71
+ 1 59
+ 1 63
+ 1 57
+ 1 33
+ 1 5
+ 1 24
+ 1 8
+ 1 85
+ 1 96
+ 1 48
+ 1 58
+ 1 70
+ 1 26
+ 1 65
+ 1 72
+ 1 52
+ 1 44
+ 1 82
+ 1 50
+ 1 91
+ 1 54
+ 1 27
+ 1 40
+ 1 80
+ 1 66
+ 1 81
+ 1 14
+ 1 93
+ 1 61
+ 1 17
+ 1 94
+ 1 34
+ 1 75
+ 1 32
+ 1 46
+ 1 99
+ 1 37
+ 1 74
+ 1 100
+ 1 39
+ 1 31
+ 1 43
+ 1 20
+ 1 76
+ 1 41
+ 1 49
+ 1 23
+ 1 47
+ 1 9
+ 1 7
+ 1 87
+ 1 35
x 1 1
+ 1 64
+ 1 95
+ 1 88
+ 1 15
+ 1 69
+ 1 92
+ 1 4
+ 1 36
+ 1 12
+ 1 77
+ 1 97
+ 1 16
+ 1 45
+ 1 11
+ 1 62
+ 1 55
+ 1 25
+ 1 67
+ 1 86
+ 1 13
+ 1 21
+ 1 73
+ 1 29
+ 1 79
+ 1 38
+ 1 18
+ 1 68
+ 1 28
+ 1 84
+ 1 53
+ 1 30
+ 1 83
+ 1 78
+ 1 6
+ 1 60
+ 1 2
+ 1 19
+ 1 90
+ 1 10
+ 1 98
+ 1 42
+ 1 56
+ 1 89
+ 1 51
28 3
+ 1 21
o 1 19
+ 1 12
100 2
+ 1 64
+ 1 1
2 2
+ 1 2
x 1 1
100 2
x 1 85
+ 1 1
65 4
+ 1 56
o 1 14
+ 1 30
+ 1 6
29 2
x 1 14
+ 1 27
5 2
+ 1 3
o 1 5
41 2
+ 1 21
o 1 19
100 100
+ 1 67
+ 1 74
+ 1 40
+ 1 81
+ 1 83
+ 1 96
+ 1 79
+ 1 14
+ 1 87
+ 1 9
+ 1 97
+ 1 92
+ 1 70
+ 1 6
+ 1 78
+ 1 4
+ 1 65
+ 1 5
+ 1 28
+ 1 94
+ 1 58
+ 1 93
+ 1 98
+ 1 29
+ 1 32
+ 1 31
+ 1 69
+ 1 53
+ 1 19
+ 1 88
+ 1 10
+ 1 38
+ 1 15
+ 1 22
+ 1 51
+ 1 45
+ 1 57
+ 1 76
+ 1 37
+ 1 54
+ 1 63
+ 1 25
+ 1 11
+ 1 90
+ 1 62
+ 1 60
+ 1 7
+ 1 66
+ 1 2
+ 1 24
+ 1 100
+ 1 39
+ 1 85
+ 1 82
+ 1 50
+ 1 77
+ 1 41
+ 1 91
+ 1 35
+ 1 23
+ 1 73
+ 1 47
+ 1 27
+ 1 52
+ 1 84
+ 1 61
+ 1 71
+ 1 26
+ 1 99
+ 1 75
+ 1 89
+ 1 34
+ 1 95
+ 1 30
+ 1 80
+ 1 68
+ 1 12
+ 1 56
+ 1 44
+ 1 55
+ 1 21
+ 1 46
+ 1 17
+ 1 42
+ 1 36
+ 1 72
+ 1 49
+ 1 18
+ 1 8
+ 1 33
+ 1 86
+ 1 20
+ 1 59
+ 1 13
+ 1 16
+ 1 3
o 1 1
+ 1 64
+ 1 43
+ 1 48
87 3
+ 1 29
o 1 22
+ 1 49
100 5
+ 1 1
+ 1 4
+ 1 9
+ 1 3
+ 1 47
46 3
+ 1 30
x 1 26
+ 1 22
100 3
+ 1 54
+ 1 80
+ 1 1
100 6
+ 1 9
+ 1 7
+ 1 8
+ 1 31
+ 1 1
+ 1 3
100 2
+ 1 63
+ 1 1
100 2
+ 1 20
+ 1 1
100 1
+ 1 2
50 2
+ 1 32
o 1 10
4 4
x 1 1
+ 1 4
+ 1 3
+ 1 2
100 4
+ 1 16
+ 1 14
+ 1 46
+ 1 1
33 3
+ 1 9
+ 1 11
x 1 8
45 3
+ 1 36
x 1 22
+ 1 9
99 0
21 3
+ 1 3
o 1 17
+ 1 5
100 2
+ 1 1
x 1 70
100 1
+ 1 28
3 1
o 1 3
100 5
+ 1 26
+ 1 90
+ 1 6
+ 1 1
+ 1 5
59 4
x 1 4
+ 1 44
+ 1 28
+ 1 31
78 2
o 1 28
+ 1 37
99 1
o 1 76
100 1
x 1 78
1 1
x 1 1
100 8
+ 1 1
+ 1 3
+ 1 8
+ 1 9
+ 1 20
+ 1 2
+ 1 16
+ 1 29
85 3
x 1 16
+ 1 82
+ 1 12
100 2
+ 1 1
+ 1 8
100 100
+ 1 64
+ 1 5
+ 1 44
+ 1 76
+ 1 62
+ 1 37
+ 1 79
+ 1 70
+ 1 67
+ 1 40
+ 1 10
+ 1 34
+ 1 19
+ 1 96
+ 1 27
+ 1 73
+ 1 16
+ 1 30
+ 1 97
+ 1 68
+ 1 89
+ 1 1
+ 1 66
+ 1 80
+ 1 95
+ 1 9
+ 1 56
+ 1 45
+ 1 81
+ 1 13
+ 1 74
+ 1 18
+ 1 46
+ 1 86
+ 1 36
+ 1 93
+ 1 4
+ 1 99
+ 1 53
+ 1 94
+ 1 54
+ 1 72
+ 1 61
+ 1 20
+ 1 14
+ 1 32
+ 1 84
+ 1 39
+ 1 91
+ 1 2
+ 1 49
+ 1 92
o 1 48
+ 1 87
+ 1 100
+ 1 28
+ 1 41
+ 1 52
+ 1 98
+ 1 12
+ 1 21
+ 1 83
+ 1 33
+ 1 7
+ 1 57
+ 1 42
+ 1 90
+ 1 58
+ 1 35
+ 1 65
+ 1 63
+ 1 25
+ 1 26
+ 1 59
+ 1 51
+ 1 55
+ 1 31
+ 1 47
+ 1 3
+ 1 77
+ 1 50
+ 1 88
+ 1 29
+ 1 43
+ 1 17
+ 1 85
+ 1 6
+ 1 11
+ 1 22
+ 1 78
+ 1 82
+ 1 23
+ 1 38
+ 1 69
+ 1 71
+ 1 15
+ 1 75
+ 1 8
+ 1 24
+ 1 60
72 2
x 1 12
+ 1 57
100 6
+ 1 68
+ 1 1
+ 1 17
+ 1 13
+ 1 42
+ 1 9
100 99
+ 1 91
+ 1 92
+ 1 59
+ 1 41
+ 1 53
+ 1 87
+ 1 43
+ 1 26
+ 1 61
+ 1 97
+ 1 98
+ 1 40
+ 1 80
+ 1 30
+ 1 8
+ 1 77
+ 1 63
+ 1 51
+ 1 82
+ 1 18
+ 1 21
+ 1 34
+ 1 78
+ 1 20
+ 1 42
+ 1 47
+ 1 13
+ 1 71
+ 1 32
+ 1 3
+ 1 19
+ 1 16
+ 1 75
+ 1 100
+ 1 95
+ 1 72
+ 1 83
+ 1 44
+ 1 15
+ 1 28
+ 1 90
+ 1 81
+ 1 96
+ 1 79
+ 1 93
+ 1 37
+ 1 69
+ 1 68
+ 1 54
+ 1 45
+ 1 49
+ 1 14
+ 1 23
+ 1 55
+ 1 52
+ 1 39
+ 1 6
+ 1 57
+ 1 25
+ 1 76
+ 1 48
+ 1 12
+ 1 24
+ 1 36
+ 1 35
+ 1 65
+ 1 11
+ 1 31
+ 1 46
+ 1 17
+ 1 33
+ 1 22
+ 1 64
+ 1 56
+ 1 84
+ 1 9
+ 1 70
+ 1 5
+ 1 58
+ 1 62
+ 1 99
+ 1 94
+ 1 88
+ 1 27
+ 1 50
+ 1 85
+ 1 60
+ 1 86
+ 1 4
+ 1 73
+ 1 29
+ 1 38
+ 1 67
+ 1 10
+ 1 2
+ 1 74
+ 1 89
+ 1 7
+ 1 66
100 8
+ 1 8
+ 1 78
+ 1 23
+ 1 26
+ 1 29
+ 1 2
+ 1 6
+ 1 1
100 99
+ 1 40
+ 1 47
+ 1 3
+ 1 84
+ 1 43
+ 1 76
+ 1 23
+ 1 64
+ 1 29
+ 1 10
+ 1 11
+ 1 41
+ 1 96
+ 1 17
+ 1 45
+ 1 85
+ 1 70
+ 1 78
+ 1 88
+ 1 51
+ 1 14
+ 1 19
+ 1 52
+ 1 89
+ 1 34
+ 1 75
+ 1 8
+ 1 73
+ 1 31
+ 1 100
+ 1 21
+ 1 46
+ 1 15
+ 1 37
+ 1 36
+ 1 90
+ 1 53
+ 1 74
+ 1 42
+ 1 12
+ 1 79
+ 1 95
+ 1 33
+ 1 66
+ 1 48
+ 1 81
+ 1 92
+ 1 26
+ 1 98
+ 1 67
+ 1 5
+ 1 77
+ 1 27
+ 1 35
+ 1 6
+ 1 91
+ 1 50
+ 1 59
+ 1 24
+ 1 58
+ 1 39
+ 1 13
+ 1 62
+ 1 68
+ 1 38
+ 1 71
+ 1 30
+ 1 80
+ 1 83
+ 1 25
+ 1 93
+ 1 54
+ 1 65
+ 1 61
+ 1 60
+ 1 7
+ 1 87
+ 1 20
+ 1 22
+ 1 69
+ 1 18
+ 1 99
+ 1 57
+ 1 55
+ 1 94
+ 1 16
+ 1 82
+ 1 56
+ 1 49
+ 1 44
+ 1 72
+ 1 86
+ 1 63
+ 1 4
+ 1 97
+ 1 9
+ 1 32
+ 1 28
+ 1 1
100 7
+ 1 11
+ 1 9
+ 1 15
+ 1 12
+ 1 1
+ 1 28
+ 1 4
76 4
+ 1 68
o 1 71
+ 1 34
+ 1 44
64 2
+ 1 15
o 1 56
1 1
+ 1 1
78 1
o 1 59
98 3
x 1 54
+ 1 22
+ 1 71
58 5
+ 1 25
o 1 23
+ 1 39
+ 1 8
+ 1 24
100 4
+ 1 35
+ 1 12
+ 1 1
+ 1 23
50 2
+ 1 19
x 1 3
100 3
+ 1 1
+ 1 3
x 1 84
21 2
x 1 9
+ 1 13
76 2
+ 1 37
o 1 55
1 0
100 1
x 1 28
12 4
+ 1 9
+ 1 8
o 1 4
+ 1 5
100 1
x 1 64
100 4
+ 1 13
+ 1 33
+ 1 86
+ 1 1
84 3
+ 1 30
+ 1 48
o 1 1
7 5
+ 1 7
+ 1 3
o 1 2
+ 1 5
+ 1 4
100 4
+ 1 1
x 1 78
+ 1 3
+ 1 21
100 100
+ 1 42
+ 1 4
+ 1 43
+ 1 39
+ 1 99
+ 1 31
+ 1 58
+ 1 78
+ 1 56
+ 1 19
+ 1 50
+ 1 75
+ 1 76
+ 1 17
+ 1 27
+ 1 84
+ 1 40
+ 1 87
+ 1 11
+ 1 60
+ 1 83
+ 1 88
+ 1 32
+ 1 68
+ 1 36
+ 1 67
+ 1 18
+ 1 6
+ 1 22
+ 1 28
+ 1 14
+ 1 71
+ 1 74
x 1 2
+ 1 41
+ 1 98
+ 1 38
+ 1 59
+ 1 80
+ 1 37
+ 1 61
+ 1 13
+ 1 54
+ 1 52
+ 1 3
+ 1 26
+ 1 16
+ 1 29
+ 1 5
+ 1 25
+ 1 15
+ 1 34
+ 1 45
+ 1 33
+ 1 47
+ 1 79
+ 1 70
+ 1 9
+ 1 97
+ 1 86
+ 1 62
+ 1 53
+ 1 24
+ 1 30
+ 1 91
+ 1 8
+ 1 35
+ 1 81
+ 1 66
+ 1 95
+ 1 92
+ 1 69
+ 1 44
+ 1 63
+ 1 72
+ 1 48
+ 1 57
+ 1 82
+ 1 73
+ 1 12
+ 1 89
+ 1 64
+ 1 90
+ 1 21
+ 1 100
+ 1 49
+ 1 93
+ 1 51
+ 1 96
+ 1 23
+ 1 77
+ 1 85
+ 1 55
+ 1 94
+ 1 1
+ 1 7
+ 1 65
+ 1 46
+ 1 10
+ 1 20
51 6
+ 1 27
+ 1 10
+ 1 45
+ 1 23
+ 1 16
x 1 6
100 1
+ 1 1
31 3
o 1 12
+ 1 8
+ 1 15
48 3
+ 1 40
+ 1 29
o 1 19
55 3
o 1 23
+ 1 30
+ 1 35
59 3
+ 1 44
+ 1 51
o 1 22
100 9
+ 1 2
+ 1 3
+ 1 73
+ 1 1
+ 1 72
+ 1 5
+ 1 4
+ 1 7
+ 1 14
100 100
+ 1 24
+ 1 38
+ 1 80
+ 1 40
+ 1 52
+ 1 10
+ 1 54
+ 1 15
+ 1 12
+ 1 1
+ 1 50
+ 1 74
+ 1 35
+ 1 86
+ 1 51
+ 1 42
+ 1 78
+ 1 88
+ 1 57
+ 1 5
+ 1 82
+ 1 8
+ 1 6
+ 1 36
+ 1 85
+ 1 75
+ 1 66
+ 1 32
+ 1 48
+ 1 31
+ 1 70
+ 1 58
+ 1 81
+ 1 77
+ 1 53
+ 1 11
+ 1 26
+ 1 16
+ 1 87
+ 1 44
+ 1 60
+ 1 18
+ 1 14
+ 1 84
+ 1 20
+ 1 55
+ 1 95
+ 1 21
+ 1 93
+ 1 90
+ 1 94
+ 1 30
+ 1 92
+ 1 46
+ 1 17
+ 1 65
+ 1 27
+ 1 89
+ 1 47
+ 1 79
+ 1 61
+ 1 7
+ 1 59
+ 1 100
+ 1 96
+ 1 3
+ 1 68
+ 1 67
+ 1 9
+ 1 41
+ 1 33
+ 1 34
+ 1 29
+ 1 83
+ 1 37
+ 1 73
+ 1 69
+ 1 56
+ 1 76
+ 1 45
+ 1 13
+ 1 25
+ 1 72
+ 1 23
+ 1 19
+ 1 28
+ 1 22
+ 1 98
+ 1 91
+ 1 97
+ 1 39
+ 1 99
+ 1 71
+ 1 4
+ 1 63
+ 1 49
+ 1 43
+ 1 64
+ 1 2
+ 1 62
40 2
o 1 23
+ 1 22
100 5
+ 1 1
+ 1 3
+ 1 76
x 1 25
+ 1 6
100 3
+ 1 5
+ 1 1
+ 1 17
100 3
+ 1 1
+ 1 24
+ 1 6
100 3
+ 1 100
+ 1 1
x 1 30
65 3
+ 1 41
x 1 44
+ 1 36
100 0
46 2
x 1 18
+ 1 26
37 2
+ 1 9
o 1 15
42 2
+ 1 13
o 1 34
100 2
+ 1 4
+ 1 1
68 2
+ 1 9
o 1 44
100 2
x 1 23
+ 1 1
100 1
x 1 47
26 2
o 1 9
+ 1 13
61 2
x 1 21
+ 1 17
98 1
o 1 45
